type,severity,lat,lng
POLICE,LOW,-6.302266,-88.970818
POLICE,LOW,-65.748103,83.644724
FIRE,HIGH,-82.692047,173.552718
MEDICAL,LOW,-59.510419,21.486510
POLICE,MEDIUM,-58.047882,119.272252
MEDICAL,CRITICAL,-88.568899,60.084467
MEDICAL,LOW,-55.177266,153.376478
FIRE,CRITICAL,-21.786570,-40.843301
MEDICAL,LOW,49.304558,-121.303536
FIRE,LOW,31.454072,-21.437576
MEDICAL,HIGH,-35.828866,29.977899
POLICE,LOW,-34.026756,150.965925
MEDICAL,MEDIUM,30.262089,-42.740728
FIRE,HIGH,25.652803,142.292289
MEDICAL,CRITICAL,-26.421319,143.472934
MEDICAL,MEDIUM,49.334284,-55.713326
POLICE,CRITICAL,-28.485207,-131.759927
POLICE,LOW,-37.971026,44.951584
FIRE,HIGH,-84.054002,-74.615976
POLICE,MEDIUM,-34.842499,-18.152608
FIRE,LOW,-21.306028,-91.082979
POLICE,HIGH,-67.821655,-84.120583
MEDICAL,HIGH,-57.824576,-57.090207
MEDICAL,LOW,43.046731,29.948773
FIRE,MEDIUM,40.411273,126.416419
POLICE,HIGH,32.240634,-56.337045
POLICE,LOW,8.052891,178.893818
MEDICAL,LOW,-60.521249,-127.911258
POLICE,LOW,21.565391,-78.837776
MEDICAL,LOW,-85.493711,-33.991936
MEDICAL,CRITICAL,-3.758884,141.663506
MEDICAL,HIGH,75.147224,88.108481
MEDICAL,HIGH,-60.772084,31.051962
POLICE,HIGH,-52.299096,3.829504
FIRE,CRITICAL,17.285635,-129.684045
POLICE,HIGH,-56.838735,51.085332
MEDICAL,CRITICAL,89.105870,162.331270
MEDICAL,CRITICAL,17.768046,148.519480
FIRE,LOW,-61.607455,121.429710
POLICE,LOW,-62.201715,-75.641974
FIRE,LOW,70.749454,-63.503129
POLICE,MEDIUM,65.631767,23.746118
POLICE,HIGH,69.662807,96.612148
MEDICAL,CRITICAL,-21.956444,-117.744488
FIRE,HIGH,-82.585620,63.307596
POLICE,CRITICAL,19.131211,-8.047845
MEDICAL,MEDIUM,-56.243548,37.347867
POLICE,HIGH,-9.011450,-143.613108
POLICE,HIGH,14.095527,159.800643
POLICE,HIGH,-70.393560,-76.161377
MEDICAL,HIGH,68.367830,75.259660
POLICE,LOW,-85.766310,24.547099
FIRE,CRITICAL,-65.132012,11.567307
MEDICAL,MEDIUM,-46.208419,100.628753
MEDICAL,CRITICAL,32.833907,-0.655968
FIRE,MEDIUM,-16.725124,-158.560223
MEDICAL,LOW,-9.161622,34.727602
POLICE,MEDIUM,87.094093,63.225109
POLICE,MEDIUM,-88.497812,-106.490636
POLICE,MEDIUM,24.902152,55.406783
POLICE,LOW,-65.448466,61.320156
MEDICAL,MEDIUM,76.160687,-111.516947
POLICE,CRITICAL,17.409660,68.540142
FIRE,MEDIUM,-25.681455,-132.070555
POLICE,MEDIUM,-5.105497,-139.025780
FIRE,MEDIUM,40.326061,-25.047676
POLICE,LOW,-62.397910,33.553609
FIRE,MEDIUM,-9.602173,-23.212040
POLICE,HIGH,41.883787,63.740648
POLICE,HIGH,82.857002,-4.761462
MEDICAL,LOW,-39.733105,1.683638
MEDICAL,LOW,-24.672825,-115.586599
MEDICAL,HIGH,68.543923,15.505133
