type,status,capacity,lat,lng,stationId,responderId
FIRE,AVAILABLE,3,30.612120,30.249468,1,1
MEDICAL,AVAILABLE,6,30.087006,30.273077,1,1
MEDICAL,AVAILABLE,6,30.985165,31.816293,1,1
FIRE,AVAILABLE,5,29.476389,31.053649,1,1
MEDICAL,AVAILABLE,4,30.776354,32.227989,1,1
MEDICAL,AVAILABLE,3,29.694343,30.777762,1,1
FIRE,AVAILABLE,4,30.606655,31.311081,1,1
POLICE,AVAILABLE,2,29.133429,31.534307,1,1
POLICE,AVAILABLE,4,29.979503,30.552928,1,1
MEDICAL,AVAILABLE,1,30.039964,31.378434,1,1
FIRE,AVAILABLE,4,29.854611,31.894208,1,1
MEDICAL,AVAILABLE,2,30.184192,31.633016,1,1
POLICE,AVAILABLE,4,29.103906,31.128085,1,1
FIRE,AVAILABLE,5,30.373214,31.740357,1,1
FIRE,AVAILABLE,1,29.262743,31.715351,1,1
FIRE,AVAILABLE,1,29.670147,30.558370,1,1
MEDICAL,AVAILABLE,1,30.266720,30.287599,1,1
FIRE,AVAILABLE,4,29.649970,31.555776,1,1
FIRE,AVAILABLE,6,30.947792,32.111638,1,1
POLICE,AVAILABLE,5,29.922904,30.621532,1,1
MEDICAL,AVAILABLE,5,29.894148,30.932769,1,1
FIRE,AVAILABLE,2,30.518611,30.795977,1,1
POLICE,AVAILABLE,5,29.957943,30.938727,1,1
POLICE,AVAILABLE,6,30.470694,31.862550,1,1
POLICE,AVAILABLE,1,30.176406,32.203354,1,1
FIRE,AVAILABLE,1,30.422710,31.737832,1,1
FIRE,AVAILABLE,2,30.492538,31.926904,1,1
MEDICAL,AVAILABLE,1,30.724355,31.372298,1,1
FIRE,AVAILABLE,1,29.330017,32.212807,1,1
FIRE,AVAILABLE,5,30.604294,30.420380,1,1
POLICE,AVAILABLE,6,30.060848,32.142948,1,1
MEDICAL,AVAILABLE,5,29.103686,31.962819,1,1
POLICE,AVAILABLE,3,29.955528,31.384874,1,1
MEDICAL,AVAILABLE,3,29.267288,31.785934,1,1
FIRE,AVAILABLE,2,29.208328,31.868220,1,1
MEDICAL,AVAILABLE,4,30.382029,31.947626,1,1
MEDICAL,AVAILABLE,1,30.787897,32.108219,1,1
FIRE,AVAILABLE,4,30.456832,30.567529,1,1
FIRE,AVAILABLE,5,30.264241,31.414304,1,1
POLICE,AVAILABLE,1,29.427178,31.947283,1,1
MEDICAL,AVAILABLE,1,29.899062,30.940615,1,1
POLICE,AVAILABLE,3,29.873833,32.014381,1,1
FIRE,AVAILABLE,2,29.567343,31.168037,1,1
MEDICAL,AVAILABLE,1,30.327599,31.817674,1,1
FIRE,AVAILABLE,6,29.286801,30.689694,1,1
FIRE,AVAILABLE,2,30.265205,31.515987,1,1
MEDICAL,AVAILABLE,3,30.551743,31.408427,1,1
POLICE,AVAILABLE,6,29.741993,31.476918,1,1
MEDICAL,AVAILABLE,6,30.554856,31.316862,1,1
FIRE,AVAILABLE,1,30.351327,30.280426,1,1
MEDICAL,AVAILABLE,2,29.259003,30.314095,1,1
POLICE,AVAILABLE,4,30.408885,30.959592,1,1
FIRE,AVAILABLE,1,30.916137,30.784560,1,1
MEDICAL,AVAILABLE,6,30.507728,31.326600,1,1
FIRE,AVAILABLE,5,29.071904,31.757185,1,1
FIRE,AVAILABLE,4,30.645126,32.064214,1,1
POLICE,AVAILABLE,5,29.299754,30.235882,1,1
MEDICAL,AVAILABLE,6,30.116246,30.330583,1,1
MEDICAL,AVAILABLE,4,29.239595,30.627875,1,1
POLICE,AVAILABLE,6,29.186971,31.679041,1,1
POLICE,AVAILABLE,2,29.085539,30.910072,1,1
FIRE,AVAILABLE,6,30.441713,31.576359,1,1
FIRE,AVAILABLE,1,29.620882,31.302932,1,1
MEDICAL,AVAILABLE,2,30.953565,30.526517,1,1
POLICE,AVAILABLE,2,30.226872,32.173775,1,1
POLICE,AVAILABLE,2,29.934945,31.338785,1,1
FIRE,AVAILABLE,6,29.280662,32.058094,1,1
POLICE,AVAILABLE,3,30.351678,32.011209,1,1
POLICE,AVAILABLE,5,30.548855,31.836592,1,1
POLICE,AVAILABLE,2,30.053604,31.720409,1,1
FIRE,AVAILABLE,2,30.189110,31.105655,1,1
FIRE,AVAILABLE,2,29.098683,30.521410,1,1
POLICE,AVAILABLE,2,30.336600,30.242768,1,1
MEDICAL,AVAILABLE,5,30.117608,31.922441,1,1
POLICE,AVAILABLE,1,29.541337,30.985367,1,1
