type,status,capacity,lat,lng,stationId,responderId
POLICE,AVAILABLE,5,29.966316,30.963745,1,1
FIRE,AVAILABLE,1,30.302592,31.560128,1,1
FIRE,AVAILABLE,5,31.041379,31.339653,1,1
POLICE,AVAILABLE,6,30.843266,31.496194,1,1
MEDICAL,AVAILABLE,1,30.942779,31.121400,1,1
MEDICAL,AVAILABLE,5,30.571574,30.328385,1,1
MEDICAL,AVAILABLE,2,30.386574,31.507946,1,1
POLICE,AVAILABLE,2,30.650430,30.384585,1,1
MEDICAL,AVAILABLE,4,31.008172,30.352660,1,1
MEDICAL,AVAILABLE,6,29.605290,31.640477,1,1
POLICE,AVAILABLE,4,29.396121,30.287732,1,1
POLICE,AVAILABLE,6,30.203591,31.292070,1,1
POLICE,AVAILABLE,1,29.910575,31.959886,1,1
POLICE,AVAILABLE,6,30.434224,32.086164,1,1
FIRE,AVAILABLE,4,29.673943,31.397924,1,1
POLICE,AVAILABLE,4,29.735918,31.929117,1,1
POLICE,AVAILABLE,4,29.741271,30.867940,1,1
MEDICAL,AVAILABLE,4,30.439200,31.884702,1,1
FIRE,AVAILABLE,1,29.421599,31.267649,1,1
MEDICAL,AVAILABLE,1,30.785702,31.180160,1,1
FIRE,AVAILABLE,4,29.647932,31.767585,1,1
POLICE,AVAILABLE,1,29.269762,30.492616,1,1
FIRE,AVAILABLE,4,29.707258,31.470831,1,1
POLICE,AVAILABLE,6,29.434790,31.215537,1,1
MEDICAL,AVAILABLE,2,30.014030,30.819824,1,1
MEDICAL,AVAILABLE,3,30.067064,31.231527,1,1
FIRE,AVAILABLE,6,30.510007,30.256169,1,1
MEDICAL,AVAILABLE,1,30.826819,31.968534,1,1
MEDICAL,AVAILABLE,5,29.270441,31.917329,1,1
POLICE,AVAILABLE,4,30.340741,30.981148,1,1
POLICE,AVAILABLE,2,29.733815,31.781147,1,1
FIRE,AVAILABLE,3,30.230726,31.106565,1,1
POLICE,AVAILABLE,4,30.024999,30.970115,1,1
POLICE,AVAILABLE,1,29.524636,32.093827,1,1
MEDICAL,AVAILABLE,4,29.076016,31.153379,1,1
MEDICAL,AVAILABLE,4,29.293873,31.421139,1,1
FIRE,AVAILABLE,5,29.181072,31.993664,1,1
MEDICAL,AVAILABLE,2,29.405002,31.512634,1,1
FIRE,AVAILABLE,1,29.554366,31.975314,1,1
POLICE,AVAILABLE,2,29.998050,32.033045,1,1
FIRE,AVAILABLE,1,29.669741,32.039429,1,1
POLICE,AVAILABLE,5,30.536009,32.022592,1,1
MEDICAL,AVAILABLE,3,31.028541,32.059770,1,1
FIRE,AVAILABLE,1,29.606575,30.723847,1,1
POLICE,AVAILABLE,3,30.320944,31.510863,1,1
MEDICAL,AVAILABLE,3,29.886503,31.445350,1,1
