type,status,capacity,lat,lng,stationId,responderId
MEDICAL,AVAILABLE,2,29.271761,32.093862,1,1
FIRE,AVAILABLE,6,29.677518,30.747032,1,1
POLICE,AVAILABLE,5,29.067949,32.182776,1,1
FIRE,AVAILABLE,1,30.564171,31.534351,1,1
POLICE,AVAILABLE,2,29.404564,31.571227,1,1
POLICE,AVAILABLE,2,29.749335,31.331055,1,1
FIRE,AVAILABLE,3,30.738390,31.040349,1,1
POLICE,AVAILABLE,4,30.369520,31.284204,1,1
POLICE,AVAILABLE,5,29.448473,32.150102,1,1
MEDICAL,AVAILABLE,6,30.733137,30.908709,1,1
POLICE,AVAILABLE,1,30.118217,30.634735,1,1
POLICE,AVAILABLE,4,30.639227,31.455146,1,1
POLICE,AVAILABLE,2,29.640541,31.609533,1,1
FIRE,AVAILABLE,3,30.461631,31.642266,1,1
FIRE,AVAILABLE,6,29.807429,30.747926,1,1
FIRE,AVAILABLE,3,30.162727,31.842782,1,1
FIRE,AVAILABLE,1,30.475839,31.127602,1,1
MEDICAL,AVAILABLE,1,30.976410,31.876683,1,1
FIRE,AVAILABLE,3,29.790707,31.758803,1,1
MEDICAL,AVAILABLE,5,29.284124,31.630812,1,1
POLICE,AVAILABLE,5,29.737744,30.241910,1,1
MEDICAL,AVAILABLE,6,29.638488,31.508756,1,1
POLICE,AVAILABLE,6,30.123511,32.106144,1,1
POLICE,AVAILABLE,2,29.713820,31.072002,1,1
MEDICAL,AVAILABLE,6,29.183322,30.468275,1,1
MEDICAL,AVAILABLE,2,30.925576,31.956857,1,1
POLICE,AVAILABLE,2,29.565217,31.350398,1,1
POLICE,AVAILABLE,1,29.833225,32.124858,1,1
FIRE,AVAILABLE,5,29.431739,32.129492,1,1
FIRE,AVAILABLE,1,29.235212,30.795953,1,1
POLICE,AVAILABLE,1,29.509985,31.579266,1,1
FIRE,AVAILABLE,2,30.907590,32.132581,1,1
POLICE,AVAILABLE,2,29.462528,31.012909,1,1
FIRE,AVAILABLE,4,30.359005,30.535240,1,1
FIRE,AVAILABLE,2,29.580535,31.959506,1,1
POLICE,AVAILABLE,2,30.846192,31.700783,1,1
MEDICAL,AVAILABLE,2,29.383026,30.652064,1,1
MEDICAL,AVAILABLE,1,30.040294,30.883147,1,1
FIRE,AVAILABLE,1,29.329114,30.366669,1,1
MEDICAL,AVAILABLE,2,30.244809,31.918420,1,1
FIRE,AVAILABLE,4,29.772162,30.936510,1,1
MEDICAL,AVAILABLE,5,30.971416,30.404661,1,1
FIRE,AVAILABLE,5,31.031528,31.162682,1,1
FIRE,AVAILABLE,2,29.849147,32.234478,1,1
MEDICAL,AVAILABLE,5,29.648020,31.189965,1,1
FIRE,AVAILABLE,6,30.240798,31.969033,1,1
FIRE,AVAILABLE,2,29.466764,31.287952,1,1
FIRE,AVAILABLE,2,30.969667,31.679519,1,1
MEDICAL,AVAILABLE,6,30.717923,31.325679,1,1
MEDICAL,AVAILABLE,5,29.902908,31.912231,1,1
FIRE,AVAILABLE,3,30.821969,31.966471,1,1
MEDICAL,AVAILABLE,2,30.994204,31.495525,1,1
MEDICAL,AVAILABLE,4,30.140570,30.799571,1,1
FIRE,AVAILABLE,1,30.678125,30.836536,1,1
MEDICAL,AVAILABLE,1,31.001673,31.868345,1,1
POLICE,AVAILABLE,1,30.622797,32.070979,1,1
MEDICAL,AVAILABLE,6,29.471063,32.052024,1,1
FIRE,AVAILABLE,6,29.701975,31.296423,1,1
