type,status,capacity,lat,lng,stationId,responderId
MEDICAL,AVAILABLE,1,29.352848,30.959103,1,1
MEDICAL,AVAILABLE,2,29.121630,30.662426,1,1
FIRE,AVAILABLE,3,29.056989,30.361171,1,1
FIRE,AVAILABLE,6,30.480885,30.896696,1,1
FIRE,AVAILABLE,1,29.421686,31.281230,1,1
FIRE,AVAILABLE,6,29.433732,31.631514,1,1
MEDICAL,AVAILABLE,4,29.322374,30.729233,1,1
FIRE,AVAILABLE,3,30.513521,31.597736,1,1
MEDICAL,AVAILABLE,2,30.053010,30.414413,1,1
FIRE,AVAILABLE,1,29.278147,30.461960,1,1
POLICE,AVAILABLE,3,29.776073,30.952900,1,1
MEDICAL,AVAILABLE,5,29.816678,30.955599,1,1
MEDICAL,AVAILABLE,1,30.649946,31.706515,1,1
POLICE,AVAILABLE,4,29.869701,32.231124,1,1
POLICE,AVAILABLE,2,29.164880,31.842634,1,1
FIRE,AVAILABLE,6,29.868914,30.713783,1,1
POLICE,AVAILABLE,1,30.905819,30.769447,1,1
FIRE,AVAILABLE,2,30.645569,30.846093,1,1
POLICE,AVAILABLE,6,30.817376,31.193407,1,1
POLICE,AVAILABLE,2,29.992682,31.675982,1,1
FIRE,AVAILABLE,4,29.153491,31.161091,1,1
POLICE,AVAILABLE,5,30.750655,30.658878,1,1
POLICE,AVAILABLE,4,30.609125,31.833262,1,1
FIRE,AVAILABLE,5,29.693425,31.061776,1,1
FIRE,AVAILABLE,2,29.493628,30.813877,1,1
MEDICAL,AVAILABLE,3,30.964978,32.081248,1,1
MEDICAL,AVAILABLE,4,30.209921,32.092232,1,1
MEDICAL,AVAILABLE,2,30.743761,32.166049,1,1
POLICE,AVAILABLE,4,29.863327,31.852757,1,1
POLICE,AVAILABLE,2,29.564067,30.279085,1,1
POLICE,AVAILABLE,5,30.061097,31.703327,1,1
POLICE,AVAILABLE,2,30.465961,32.076790,1,1
MEDICAL,AVAILABLE,5,30.714432,31.135747,1,1
FIRE,AVAILABLE,2,30.494634,31.404480,1,1
FIRE,AVAILABLE,2,30.975189,30.589384,1,1
MEDICAL,AVAILABLE,5,29.130316,30.857282,1,1
POLICE,AVAILABLE,6,30.443884,30.282754,1,1
MEDICAL,AVAILABLE,1,29.507400,32.014432,1,1
MEDICAL,AVAILABLE,6,29.338816,31.390282,1,1
POLICE,AVAILABLE,1,29.945187,30.864580,1,1
FIRE,AVAILABLE,1,30.640375,30.528106,1,1
MEDICAL,AVAILABLE,2,30.790618,31.526340,1,1
POLICE,AVAILABLE,4,30.375026,31.429892,1,1
POLICE,AVAILABLE,4,30.204236,31.128111,1,1
MEDICAL,AVAILABLE,5,30.158445,30.486024,1,1
FIRE,AVAILABLE,4,30.130551,31.913282,1,1
POLICE,AVAILABLE,4,30.424311,30.263535,1,1
FIRE,AVAILABLE,1,29.997777,31.487405,1,1
FIRE,AVAILABLE,2,29.616263,31.694772,1,1
MEDICAL,AVAILABLE,3,29.594420,31.187758,1,1
POLICE,AVAILABLE,1,30.107358,31.871699,1,1
FIRE,AVAILABLE,3,29.119893,31.612589,1,1
POLICE,AVAILABLE,6,29.110320,30.400783,1,1
MEDICAL,AVAILABLE,1,29.951701,30.914816,1,1
FIRE,AVAILABLE,4,30.430941,31.234102,1,1
FIRE,AVAILABLE,6,30.130921,30.408242,1,1
POLICE,AVAILABLE,2,29.695273,31.347214,1,1
FIRE,AVAILABLE,4,30.334751,30.709916,1,1
MEDICAL,AVAILABLE,6,30.906435,31.760879,1,1
FIRE,AVAILABLE,2,29.412409,31.442763,1,1
MEDICAL,AVAILABLE,5,30.435230,32.045033,1,1
MEDICAL,AVAILABLE,6,30.304706,31.230594,1,1
FIRE,AVAILABLE,2,30.275601,32.088623,1,1
MEDICAL,AVAILABLE,2,29.846483,31.796177,1,1
POLICE,AVAILABLE,2,30.832269,31.713548,1,1
MEDICAL,AVAILABLE,6,29.311330,31.319645,1,1
FIRE,AVAILABLE,4,29.065985,30.820551,1,1
MEDICAL,AVAILABLE,3,30.847414,31.402428,1,1
FIRE,AVAILABLE,5,29.891346,31.079813,1,1
FIRE,AVAILABLE,5,30.413559,32.137542,1,1
POLICE,AVAILABLE,6,29.891628,31.777573,1,1
FIRE,AVAILABLE,3,29.068980,32.011902,1,1
MEDICAL,AVAILABLE,3,29.301467,31.070316,1,1
FIRE,AVAILABLE,6,30.813932,31.229869,1,1
POLICE,AVAILABLE,5,30.100559,30.719154,1,1
FIRE,AVAILABLE,1,30.847192,30.394160,1,1
POLICE,AVAILABLE,5,29.489031,31.228971,1,1
MEDICAL,AVAILABLE,5,30.665752,32.058312,1,1
POLICE,AVAILABLE,4,30.057782,32.140066,1,1
POLICE,AVAILABLE,6,29.304374,30.340782,1,1
FIRE,AVAILABLE,2,30.221251,30.502677,1,1
MEDICAL,AVAILABLE,1,30.105806,31.045989,1,1
MEDICAL,AVAILABLE,2,30.192582,31.008507,1,1
FIRE,AVAILABLE,2,29.077576,32.210257,1,1
FIRE,AVAILABLE,3,31.014551,31.534858,1,1
MEDICAL,AVAILABLE,2,29.869721,31.470864,1,1
FIRE,AVAILABLE,2,30.598897,31.352117,1,1
POLICE,AVAILABLE,4,30.019882,30.288711,1,1
MEDICAL,AVAILABLE,1,29.733497,31.842569,1,1
MEDICAL,AVAILABLE,4,29.219863,30.389246,1,1
FIRE,AVAILABLE,1,29.808223,31.087480,1,1
FIRE,AVAILABLE,3,30.131969,31.814906,1,1
FIRE,AVAILABLE,4,29.102511,31.680308,1,1
MEDICAL,AVAILABLE,4,29.628510,30.271874,1,1
MEDICAL,AVAILABLE,4,29.673553,30.957790,1,1
MEDICAL,AVAILABLE,1,29.227670,30.999401,1,1
MEDICAL,AVAILABLE,3,29.412055,30.922898,1,1
MEDICAL,AVAILABLE,2,30.579591,31.384021,1,1
FIRE,AVAILABLE,6,30.256941,30.782621,1,1
MEDICAL,AVAILABLE,1,29.425233,31.293547,1,1
MEDICAL,AVAILABLE,4,29.762823,30.743645,1,1
FIRE,AVAILABLE,6,30.183217,31.777253,1,1
POLICE,AVAILABLE,2,29.552237,30.391482,1,1
MEDICAL,AVAILABLE,3,29.813096,31.052490,1,1
FIRE,AVAILABLE,2,30.597846,30.795796,1,1
POLICE,AVAILABLE,4,29.897784,31.014243,1,1
MEDICAL,AVAILABLE,1,29.962562,30.841437,1,1
POLICE,AVAILABLE,2,30.500529,30.441143,1,1
POLICE,AVAILABLE,5,30.050407,31.052814,1,1
POLICE,AVAILABLE,5,31.009736,31.648929,1,1
MEDICAL,AVAILABLE,2,30.308565,31.692609,1,1
MEDICAL,AVAILABLE,1,30.837620,32.024316,1,1
MEDICAL,AVAILABLE,3,29.336103,30.409008,1,1
MEDICAL,AVAILABLE,3,30.184329,31.280963,1,1
FIRE,AVAILABLE,4,30.197142,31.541597,1,1
FIRE,AVAILABLE,3,30.497949,32.131805,1,1
POLICE,AVAILABLE,1,30.456448,32.100698,1,1
MEDICAL,AVAILABLE,3,30.177405,32.130296,1,1
FIRE,AVAILABLE,3,30.863224,32.218963,1,1
FIRE,AVAILABLE,6,30.663106,31.037284,1,1
FIRE,AVAILABLE,5,30.216125,31.010781,1,1
FIRE,AVAILABLE,2,30.341079,30.481361,1,1
FIRE,AVAILABLE,3,30.520880,31.272702,1,1
